Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	splice variant	60	67.41573033707866	3.388068243655551E-8	SCAF4, GRIK2, MED23, LARP1, CDKN2A, XYLT2, RMND5B, ROBO2, KDM5C, SLC22A9, TP53, HLA-A, BTBD7, ARID1A, ARID1B, MBD2, GCC2, USP28, EIF2AK1, ESRP1, SRGAP3, MGA, KMT2D, ADAMTSL4, CTNND1, ARHGAP35, GON4L, TCF7L2, STAU2, WT1, PKD1L2, DAZAP1, FBXW7, RTKN2, PBRM1, NFATC4, BCL9L, WAC, TNRC6B, RASA1, COBLL1, ASXL2, ZC3H13, SCLT1, PDS5B, ZMYM4, ZC3H18, FAM111B, NF1, TET2, IWS1, ATRX, HDAC2, PHF14, BCORL1, MIS18BP1, SETD2, USP43, NCOR1, RNF111	88	7760	20063	1.762798734770384	1.531395148146597E-5	7.657005055561328E-6	4.809686168227856E-5
UP_KEYWORDS	Methylation	20	22.47191011235955	3.499491177556722E-8	ASXL2, KMT2D, KDM6A, TFE3, MAP2K4, TP53, ADNP, ARID1A, RB1, NXF1, ARID1B, TET2, LARP4B, DAZAP1, LARP1, ATRX, ESRP1, MGA, BCL9L, USP43	89	1001	20581	4.620323496727991	4.93427046899253E-6	5.482534766176883E-7	4.1342051559922766E-5
UP_KEYWORDS	Acetylation	37	41.57303370786517	5.575345729193922E-8	KMT2D, ZNF292, SCAF4, CTNND1, TTK, LARP1, DAZAP1, SIN3A, CDKN2A, SLC2A5, MAP3K1, RMND5B, PBRM1, WAC, BCL9L, POLQ, RASA1, STAG2, SCLT1, PDS5B, ZMYM4, ZC3H18, FAM111B, MAP2K4, NF1, TP53, ADNP, ARID1A, RB1, NXF1, ARID1B, LARP4B, GCC2, IWS1, ATRX, HDAC2, NCOR1	89	3424	20581	2.4988744355770245	7.861206798298603E-6	7.861234607720036E-7	6.586563394694878E-5
UP_KEYWORDS	Tumor suppressor	10	11.235955056179774	6.693833341115084E-8	CDKN2A, NF1, TP53, BRCA2, PBRM1, PTCH1, RB1, TET2, WT1, RASA1	89	177	20581	13.064813051482256	9.438260789140784E-6	8.580273891389822E-7	7.90791408133984E-5
GOTERM_MF_DIRECT	GO:0003677~DNA binding	27	30.337078651685395	1.0130737082556713E-7	KMT2D, ZNF292, RBM6, ARHGAP35, GON4L, SYCP2, CDKN2A, PBRM1, NFATC4, POLQ, KDM5C, ASXL2, PDS5B, ZMYM4, TP53, ADNP, MBD6, ARID1A, ARID1B, RB1, MBD2, TET2, IWS1, ATRX, MGA, MIS18BP1, NCOR1	86	1674	16881	3.1659789947486874	2.1780848624697313E-5	2.1780848624697313E-5	1.2848085606531612E-4
GOTERM_CC_DIRECT	GO:0005634~nucleus	48	53.93258426966292	4.6929008196176416E-7	KMT2D, KDM6A, ZNF292, TFE3, RBM6, CTNND1, ARHGAP35, GON4L, SYCP2, TCF7L2, WT1, DAZAP1, CDKN2A, SIN3A, RMND5B, NFATC4, WAC, BCL9L, ZNF750, KDM5C, STAG2, PDS5B, MAP2K4, NF1, TP53, MBD6, ADNP, BTBD7, BRCA2, YTHDC2, DIEXF, ARID1A, RB1, NXF1, MBD2, TET2, IWS1, ATRX, USP28, RPS6KA3, HDAC2, PHF14, ESRP1, MGA, ZFPM1, SETD2, NCOR1, RNF111	85	5415	18224	1.9004986149584489	6.335216910458019E-5	3.1676586255358075E-5	5.501805707353036E-4
UP_KEYWORDS	Mental retardation	11	12.359550561797752	5.986829617339556E-7	ATRX, KMT2D, KDM6A, RPS6KA3, GRIK2, ADNP, MED23, ARID1A, ARID1B, SETD2, KDM5C	89	299	20581	8.50742174288828	8.441076008836035E-5	7.034502164215972E-6	7.072658623874517E-4
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	19	21.34831460674157	1.0844412783204459E-6	ASXL2, KMT2D, ZNF292, TFE3, BMPR2, TP53, RB1, TET2, TCF7L2, WT1, ATRX, RPS6KA3, HDAC2, CDKN2A, SIN3A, NFATC4, BCL9L, ZNF750, RNF111	84	981	16792	3.871753798359303	9.17017101517148E-4	9.17017101517148E-4	0.001676832505026482
UP_KEYWORDS	Repressor	13	14.606741573033707	8.039551522619836E-6	ASXL2, TP53, GON4L, ARHGAP35, RB1, TCF7L2, SIN3A, HDAC2, BCORL1, MGA, ZFPM1, NCOR1, KDM5C	89	592	20581	5.078063316125114	0.0011329390608399992	8.719476150331751E-5	0.009497299819405391
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	25	28.08988764044944	1.6108035001941987E-5	KMT2D, TFE3, CTNND1, ARHGAP35, GON4L, TCF7L2, CDKN2A, SIN3A, PBRM1, BCL9L, WAC, KDM5C, ASXL2, ADNP, TP53, ARID1A, ARID1B, RB1, MBD2, IWS1, ATRX, HDAC2, BCORL1, MGA, ZFPM1	84	1955	16792	2.556326878577518	0.013535073248213791	0.006790592698706743	0.02490456880641645
GOTERM_BP_DIRECT	GO:0016569~covalent chromatin modification	7	7.865168539325842	2.012523082607839E-5	ATRX, BCORL1, PBRM1, ARID1A, RB1, ARID1B, NCOR1	84	113	16792	12.383480825958701	0.016881991406731633	0.005659297701380517	0.031114635420848025
GOTERM_CC_DIRECT	GO:0005730~nucleolus	15	16.853932584269664	3.433463525046291E-5	NF1, MBD6, TP53, DIEXF, LARP4B, WT1, STAU2, USP28, FBXW7, SIN3A, CDKN2A, ZNF750, BCL9L, STAG2, RNF111	85	857	18224	3.7526254375729287	0.00462452911748279	0.0015438920819130786	0.04024551169764523
UP_SEQ_FEATURE	compositionally biased region:Gln-rich	7	7.865168539325842	5.218434771652208E-5	KMT2D, MGA, ARID1A, ARID1B, TNRC6B, SETD2, TET2	88	152	20063	10.499476674641148	0.023311919676758608	0.007831817124056784	0.07405517618134239
GOTERM_BP_DIRECT	GO:0006338~chromatin remodeling	6	6.741573033707865	6.646882085275482E-5	ATRX, HDAC2, PBRM1, ARID1A, RB1, ARID1B	84	86	16792	13.946843853820596	0.05468255889478568	0.013960261886790448	0.10272976333478567
UP_SEQ_FEATURE	compositionally biased region:Poly-Ser	11	12.359550561797752	7.036810861547196E-5	ASXL2, ATRX, MAP3K1, NF1, BMPR2, MGA, ARID1A, ARID1B, SYCP2, NCOR1, STAG2	88	509	20063	4.927062868369352	0.03130696655002441	0.007920343525945284	0.09984790066925875
UP_KEYWORDS	DNA-binding	22	24.719101123595504	1.1604871615667876E-4	ZNF292, TFE3, TP53, ADNP, BRCA2, ARHGAP35, ARID1A, RB1, ARID1B, SYCP2, TET2, MBD2, TCF7L2, WT1, ATRX, CDKN2A, MGA, PBRM1, NFATC4, MIS18BP1, ZFPM1, NCOR1	89	2050	20581	2.481677171827898	0.01623065854311545	0.0011681613460337026	0.13701088120913196
KEGG_PATHWAY	hsa05202:Transcriptional misregulation in cancer	7	7.865168539325842	1.4314028961820365E-4	KDM6A, SIN3A, HDAC2, TFE3, TP53, NCOR1, WT1	35	167	6879	8.238323353293413	0.01322477374077169	0.01322477374077169	0.15659108882744022
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	10	11.235955056179774	1.5249529885708358E-4	ATRX, SIN3A, HDAC2, TP53, MBD6, ADNP, PBRM1, WAC, POLQ, MBD2	86	391	16881	5.020222446916077	0.03225725797856427	0.016260836389322297	0.19322676402050432
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	11	12.359550561797752	1.7088469134158722E-4	SIN3A, CDKN2A, HDAC2, TP53, ARHGAP35, GON4L, RB1, MBD2, TCF7L2, WT1, KDM5C	84	499	16792	4.406718198301364	0.13461501573532186	0.028502089058228597	0.2639086445563432
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	13	14.606741573033707	2.085209191949186E-4	TP53, ARID1A, ARHGAP35, RB1, MBD2, TCF7L2, WT1, SIN3A, HDAC2, PHF14, PTCH1, ZFPM1, NCOR1	84	720	16792	3.6093915343915346	0.16174010776357972	0.028976409026177374	0.32194518133658034
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	11	12.359550561797752	2.2042725272061598E-4	CDKN2A, HDAC2, TFE3, TP53, BRCA2, PTCH1, ARID1A, WAC, RB1, WT1, RNF111	84	515	16792	4.269810448451225	0.17014310740699123	0.026291347195690595	0.340298635730929
GOTERM_CC_DIRECT	GO:0090544~BAF-type complex	3	3.3707865168539324	3.111488882783953E-4	PBRM1, ARID1A, ARID1B	85	6	18224	107.2	0.04114137695693765	0.0104479460910899	0.3641738837766417
KEGG_PATHWAY	hsa04110:Cell cycle	6	6.741573033707865	3.2127679872455867E-4	CDKN2A, HDAC2, TP53, TTK, RB1, STAG2	35	124	6879	9.510138248847927	0.029441444678511175	0.014830697127905412	0.35115577700532974
GOTERM_MF_DIRECT	GO:0005515~protein binding	61	68.53932584269663	3.7217320252695013E-4	RBM6, TTK, MED23, LARP1, CDKN2A, SIN3A, ROBO2, STAG2, TP53, HLA-A, ADNP, DIEXF, ARID1A, RB1, ARID1B, MBD2, GCC2, USP28, ESRP1, SRGAP3, MGA, ZFPM1, ASTE1, KMT2D, TRIM17, ADAMTSL4, BMPR2, CTNND1, TCF7L2, STAU2, WT1, FBXW7, MAP3K1, PBRM1, ZNF750, NFATC4, WAC, POLQ, TNRC6B, RASA1, ZC3H13, PDS5B, ZMYM4, ZC3H18, FAM111B, NF1, MAP2K4, BRCA2, YTHDC2, NXF1, TET2, LARP4B, IWS1, ATRX, RPS6KA3, HDAC2, PTCH1, MIS18BP1, SETD2, NCOR1, RNF111	86	8785	16881	1.3629746793556672	0.07691331505719934	0.026324679536134488	0.4709760666869012
GOTERM_BP_DIRECT	GO:0007265~Ras protein signal transduction	5	5.617977528089887	3.9702171070694317E-4	USP28, CDKN2A, NF1, TP53, RB1	84	70	16792	14.27891156462585	0.285339061614322	0.041123874182860454	0.612145796619612
UP_KEYWORDS	RNA-binding	11	12.359550561797752	5.414724435259821E-4	SCAF4, ESRP1, RBM6, YTHDC2, NXF1, TNRC6B, LARP4B, WT1, STAU2, DAZAP1, LARP1	89	665	20581	3.825141505449016	0.07352506964799532	0.005078281179781929	0.6378117030774622
GOTERM_BP_DIRECT	GO:0001843~neural tube closure	5	5.617977528089887	5.708269525378204E-4	KDM6A, ARHGAP35, PTCH1, ARID1A, SETD2	84	77	16792	12.98082869511441	0.3831056404866694	0.052258083726766325	0.8790219165263569
UP_SEQ_FEATURE	compositionally biased region:Poly-Asp	5	5.617977528089887	6.082164064727448E-4	ATRX, ZC3H18, PBRM1, DIEXF, MIS18BP1	88	89	20063	12.80835035750766	0.240425942284475	0.053514369942273654	0.8599650616214816
UP_KEYWORDS	Coiled coil	26	29.213483146067414	7.056286938227275E-4	ZC3H13, SCLT1, KMT2D, ZNF292, ZC3H18, TRIM17, TFE3, RBM6, CTNND1, GCC2, ATRX, USP28, FBXW7, SIN3A, EIF2AK1, PHF14, RTKN2, SRGAP3, MGA, WAC, USP35, POLQ, SETD2, TNRC6B, NCOR1, STAG2	89	3036	20581	1.980377788633773	0.09473609054589383	0.0062012402686930646	0.8304379028686637
GOTERM_MF_DIRECT	GO:0001102~RNA polymerase II activating transcription factor binding	4	4.49438202247191	9.1515750437931E-4	SIN3A, ZFPM1, RB1, NCOR1	86	38	16881	20.66217870257038	0.17868531736373328	0.04802093765810178	1.1544451163218339
GOTERM_BP_DIRECT	GO:0043525~positive regulation of neuron apoptotic process	4	4.49438202247191	0.0012460633837369163	GRIK2, NF1, MAP2K4, TP53	84	43	16792	18.595791805094127	0.6517473127209447	0.10010995467535555	1.9094932123078223
GOTERM_BP_DIRECT	GO:0034644~cellular response to UV	4	4.49438202247191	0.0013324972888629242	USP28, FBXW7, TP53, NFATC4	84	44	16792	18.173160173160174	0.676334411825108	0.09746652113702325	2.040673292125128
KEGG_PATHWAY	hsa05166:HTLV-I infection	7	7.865168539325842	0.0013447506733457605	CDKN2A, MAP3K1, MAP2K4, TP53, HLA-A, NFATC4, RB1	35	254	6879	5.416535433070867	0.11763191187615285	0.04085721481478011	1.4623565653445136
INTERPRO	IPR012677:Nucleotide-binding, alpha-beta plait	7	7.865168539325842	0.0014226071343701305	SCAF4, ESRP1, RBM6, NXF1, TNRC6B, LARP4B, DAZAP1	87	264	18559	5.656260884709161	0.28229988200903644	0.28229988200903644	1.812292874358279
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	15	16.853932584269664	0.0014404673320536888	ZC3H13, SCAF4, HDAC2, CDKN2A, ZC3H18, HLA-A, RBM6, YTHDC2, DIEXF, NXF1, TNRC6B, LARP4B, STAU2, DAZAP1, LARP1	86	1129	16881	2.607936638721239	0.26649711450621616	0.060102779422536834	1.811549808484847
GOTERM_BP_DIRECT	GO:0030900~forebrain development	4	4.49438202247191	0.0015164728336741343	ATRX, ARHGAP35, ARID1A, SETD2	84	46	16792	17.38302277432712	0.7230476393140154	0.10146757087007319	2.3193454359916266
GOTERM_CC_DIRECT	GO:0016580~Sin3 complex	3	3.3707865168539324	0.0015843791173373038	SIN3A, HDAC2, NCOR1	85	13	18224	49.47692307692308	0.19270070219442192	0.04190865941449895	1.8417807759800509
UP_KEYWORDS	Cell cycle	10	11.235955056179774	0.0018349483057058342	RPS6KA3, CDKN2A, PDS5B, TP53, BRCA2, RB1, MIS18BP1, SYCP2, TET2, STAG2	89	650	20581	3.557649092480553	0.22815025433981206	0.015117818369437153	2.1463807379280997
UP_SEQ_FEATURE	domain:ARID	3	3.3707865168539324	0.0018814684986641864	ARID1A, ARID1B, KDM5C	88	15	20063	45.59772727272727	0.5731082407269199	0.13226663802260585	2.6380203748814557
UP_KEYWORDS	Polymorphism	66	74.15730337078652	0.0019496569786800408	ZNF292, KDM6A, SCAF4, GRIK2, RBM6, TTK, CDKN2A, SIN3A, XYLT2, STAG2, SLC22A9, CNTN6, TP53, HLA-A, DIEXF, ARID1A, RB1, ARID1B, GCC2, EIF2AK1, ESRP1, SRGAP3, MGA, ZFPM1, KMT2D, ADAMTSL4, TFE3, BMPR2, CTNND1, GON4L, SYCP2, TCF7L2, STAU2, PKD1L2, DAZAP1, FBXW7, MAP3K1, RTKN2, PBRM1, WAC, ZNF750, NFATC4, USP35, TNRC6B, POLQ, ASXL2, SCLT1, ZC3H13, ZMYM4, ZC3H18, FAM111B, NF1, MAP2K4, BRCA2, YTHDC2, TET2, IWS1, ATRX, RPS6KA3, HDAC2, PHF14, BCORL1, PTCH1, MIS18BP1, SETD2, RNF111	89	12043	20581	1.2673183265582972	0.24055696630091739	0.015170963879195476	2.279147131802073
GOTERM_CC_DIRECT	GO:0000790~nuclear chromatin	6	6.741573033707865	0.0019854934656268197	HDAC2, TP53, ARID1A, MBD2, NCOR1, TCF7L2	85	193	18224	6.6652849740932645	0.23532782625112947	0.043732899706501294	2.303112320738032
GOTERM_CC_DIRECT	GO:0016514~SWI/SNF complex	3	3.3707865168539324	0.0021200895603462003	ARID1A, RB1, ARID1B	85	15	18224	42.879999999999995	0.24912487383102255	0.040104491155082744	2.4574696574856114
INTERPRO	IPR001606:ARID/BRIGHT DNA-binding domain	3	3.3707865168539324	0.0021428529176579056	ARID1A, ARID1B, KDM5C	87	15	18559	42.66436781609195	0.39336042315154907	0.22112929388219327	2.7182365245161377
GOTERM_BP_DIRECT	GO:0001953~negative regulation of cell-matrix adhesion	3	3.3707865168539324	0.0024308279716548347	CDKN2A, NF1, RASA1	84	15	16792	39.98095238095238	0.8724164706925754	0.14647750796612524	3.6933746818259783
GOTERM_BP_DIRECT	GO:0007420~brain development	6	6.741573033707865	0.0025038794110157103	NF1, BMPR2, BRCA2, CTNND1, ROBO2, PTCH1	84	190	16792	6.3127819548872175	0.8800809537170786	0.14057833493960148	3.802367782166305
BBID	94.E2F_transcriptional_activity_cell_cycle	3	3.3707865168539324	0.002725191001547463	CDKN2A, TP53, RB1	6	7	388	27.714285714285715	0.040107199038923236	0.040107199038923236	1.8794156595799194
UP_SEQ_FEATURE	domain:RRM	5	5.617977528089887	0.0028348619866811415	SCAF4, RBM6, NXF1, TNRC6B, LARP4B	88	135	20063	8.44402356902357	0.7228447038064567	0.16749082983378383	3.9499456053097015
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	5	5.617977528089887	0.0028944508542029916	HDAC2, MAP2K4, TP53, HLA-A, RB1	35	122	6879	8.055035128805619	0.23629542965662775	0.06517278462215426	3.1234696776286763
GOTERM_CC_DIRECT	GO:0043234~protein complex	8	8.98876404494382	0.0029148294011441603	USP28, FBXW7, CDKN2A, HDAC2, TP53, BRCA2, MBD2, RNF111	85	412	18224	4.163106796116505	0.32569758488043954	0.048065998450447456	3.364354067510422
GOTERM_MF_DIRECT	GO:0008134~transcription factor binding	7	7.865168539325842	0.003096753246941291	CDKN2A, HDAC2, TP53, NFATC4, ZFPM1, RB1, TCF7L2	86	284	16881	4.83815099901736	0.48666929559287553	0.1051857870842885	3.8571284226077918
GOTERM_BP_DIRECT	GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity	4	4.49438202247191	0.003253030597057648	HDAC2, PTCH1, RB1, TCF7L2	84	60	16792	13.326984126984126	0.9364894909868359	0.16787282285787386	4.913466336502703
UP_KEYWORDS	RNA editing	3	3.3707865168539324	0.0036004223957498685	GRIK2, NF1, WT1	89	21	20581	33.03531300160513	0.3986484969480787	0.026412074763322746	4.17160912949428
SMART	SM00501:BRIGHT	3	3.3707865168539324	0.0037288102633575627	ARID1A, ARID1B, KDM5C	63	15	10057	31.926984126984124	0.2583385216309344	0.2583385216309344	3.8937354806886093
UP_SEQ_FEATURE	short sequence motif:Nuclear localization signal	7	7.865168539325842	0.0038336652237221268	ASXL2, BCORL1, CTNND1, NFATC4, NXF1, RB1, TCF7L2	88	344	20063	4.639303646934461	0.8238019643922692	0.19508479239099663	5.306718594757731
KEGG_PATHWAY	hsa05212:Pancreatic cancer	4	4.49438202247191	0.003909849503868077	CDKN2A, TP53, BRCA2, RB1	35	65	6879	12.094945054945056	0.30533718130076326	0.07027435414906436	4.198027429309503
GOTERM_MF_DIRECT	GO:0044212~transcription regulatory region DNA binding	6	6.741573033707865	0.00442173494622876	KMT2D, TFE3, TP53, NCOR1, TCF7L2, WT1	86	213	16881	5.529315427448411	0.6143330253460182	0.1272547515988507	5.465190620451066
INTERPRO	IPR013083:Zinc finger, RING/FYVE/PHD-type	8	8.98876404494382	0.005051102854241773	ATRX, KMT2D, PHF14, TRIM17, MAP3K1, RMND5B, KDM5C, RNF111	87	453	18559	3.7672730963436605	0.6926872595048854	0.325171335305221	6.29846871866766
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	4	4.49438202247191	0.005214322531506554	CDKN2A, HDAC2, TP53, RB1	35	72	6879	10.919047619047618	0.38504162941300946	0.07783715596701068	5.562605099327156
KEGG_PATHWAY	hsa05161:Hepatitis B	5	5.617977528089887	0.005373792365553714	MAP3K1, MAP2K4, TP53, NFATC4, RB1	35	145	6879	6.777339901477832	0.39414241609470413	0.06908489251029015	5.728205390542862
GOTERM_BP_DIRECT	GO:0043044~ATP-dependent chromatin remodeling	3	3.3707865168539324	0.005709000297142798	HDAC2, ARID1A, MBD2	84	23	16792	26.074534161490682	0.9921217828821274	0.2612002384604014	8.472421802625707
INTERPRO	IPR016024:Armadillo-type fold	7	7.865168539325842	0.005798796379214543	PDS5B, MAP3K1, NF1, CTNND1, ARID1A, USP35, STAG2	87	351	18559	4.254281691063301	0.7420661701461255	0.2873487082611379	7.199079091363214
UP_KEYWORDS	Activator	9	10.112359550561797	0.0073188969172659915	TFE3, TP53, ZNF750, MED23, BCL9L, NFATC4, ZFPM1, SETD2, TCF7L2	89	661	20581	3.1486001801832426	0.645043280557632	0.050469826281420715	8.312255700364911
UP_KEYWORDS	Chromosome	7	7.865168539325842	0.007382567142951918	ATRX, MBD6, MIS18BP1, POLQ, SYCP2, SETD2, STAG2	89	400	20581	4.046825842696629	0.6482390297053635	0.04853515766281191	8.38170606356825
UP_SEQ_FEATURE	zinc finger region:PHD-type 2	3	3.3707865168539324	0.007472868460600986	KMT2D, PHF14, KDM5C	88	30	20063	22.798863636363635	0.9663054934171644	0.3138873040407639	10.100956649013948
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	6	6.741573033707865	0.007512562060404033	RPS6KA3, MAP3K1, NF1, MAP2K4, TP53, RASA1	35	253	6879	4.6610954263128175	0.5040627559969786	0.0839306756401792	7.923841354162054
GOTERM_MF_DIRECT	GO:0001103~RNA polymerase II repressing transcription factor binding	3	3.3707865168539324	0.008104786500389002	SIN3A, HDAC2, TCF7L2	86	27	16881	21.810077519379846	0.8261615567831617	0.19644015187613484	9.805888223787973
UP_KEYWORDS	Zinc-finger	16	17.97752808988764	0.008209282454673946	ASXL2, ZC3H13, KMT2D, ZNF292, ZC3H18, ZMYM4, TRIM17, ADNP, WT1, ATRX, PHF14, MAP3K1, ZNF750, ZFPM1, KDM5C, RNF111	89	1781	20581	2.0774593240762353	0.6872296763687141	0.051459876599317056	9.279111517732641
